石块|[(300, 1)]
给出|[(16, 1), (53, 1), (63, 1), (134, 1), (155, 2), (171, 1), (172, 1), (184, 1), (219, 1), (254, 1), (295, 1), (503, 1), (553, 1)]
中不含|[(240, 1)]
合理|[(57, 1), (445, 1), (597, 1)]
优先级|[(232, 1)]
二队|[(82, 1), (150, 1)]
滑过来|[(58, 1)]
中心|[(611, 1)]
爸妈|[(432, 1)]
是因为|[(15, 1), (129, 1), (171, 2), (197, 1), (214, 1), (243, 1), (268, 1), (285, 1), (374, 1), (446, 1), (502, 1), (538, 1), (546, 1), (584, 1), (593, 1)]
圭|[(51, 1)]
圣|[(113, 1), (182, 1), (369, 1)]
尼为|[(338, 1)]
出生|[(58, 1), (126, 1), (207, 1), (208, 1), (408, 1), (420, 1), (624, 1)]
上限|[(273, 1)]
瓦拉|[(146, 2), (254, 1), (333, 1), (588, 1), (664, 1)]
球场上|[(24, 1), (166, 1), (172, 1), (259, 1), (269, 1), (273, 2), (287, 1), (353, 1), (407, 2), (432, 2), (456, 1), (568, 1), (639, 1), (667, 1)]
争|[(601, 1)]
贝里|[(13, 5), (157, 2), (257, 1), (412, 1), (428, 4), (506, 4), (518, 1), (520, 1), (580, 1), (645, 1)]
事|[(34, 1), (78, 1), (84, 1), (103, 1), (119, 1), (121, 4), (129, 1), (152, 1), (171, 4), (210, 1), (227, 1), (265, 1), (274, 1), (277, 2), (281, 1), (311, 2), (346, 1), (350, 1), (360, 1), (362, 1), (363, 1), (374, 1), (384, 1), (404, 3), (432, 3), (517, 1), (590, 2), (611, 1), (614, 2), (619, 1), (649, 1)]
城市|[(218, 1), (270, 1), (303, 1), (311, 2), (360, 1), (432, 1), (506, 1), (631, 1), (665, 4)]
博尔赞|[(633, 3)]
为期|[(27, 1), (183, 1), (232, 1), (243, 1), (349, 1), (365, 1), (474, 1), (525, 1), (543, 1), (545, 1), (577, 1), (582, 1), (634, 1)]
些|[(315, 1), (316, 1), (432, 1), (614, 1)]
亚|[(47, 2), (58, 1), (85, 1), (87, 2), (254, 1), (333, 1), (372, 2), (378, 2), (381, 2), (409, 1), (609, 1), (646, 2), (664, 1)]
凶猛|[(455, 1)]
森|[(9, 1), (239, 1), (369, 1), (372, 1), (393, 1), (504, 1), (529, 1), (545, 1), (601, 1), (616, 1), (617, 2), (634, 1)]
考察|[(98, 1), (153, 1), (166, 1), (170, 1), (181, 1), (238, 1), (263, 1), (299, 1), (382, 1), (416, 1), (462, 1), (560, 1)]
棒|[(100, 1), (171, 1), (312, 1), (407, 1), (419, 1), (480, 1), (492, 1), (562, 1), (596, 1), (649, 1)]
领头羊|[(307, 1), (346, 1), (410, 1), (419, 1), (645, 1)]
德科|[(483, 1)]
直至|[(126, 1)]
亦|[(285, 1)]
亨|[(202, 1), (592, 1)]
阿斯顿|[(75, 1), (118, 1), (121, 1), (173, 2), (302, 1), (631, 1), (663, 1)]
辟谣|[(6, 1), (543, 1)]
疲劳|[(419, 1)]
源称|[(239, 1), (330, 1)]
西蒙|[(137, 2)]
声势|[(252, 1)]
人|[(0, 1), (7, 1), (16, 2), (19, 1), (31, 1), (40, 1), (50, 1), (58, 1), (61, 1), (74, 1), (78, 3), (83, 1), (84, 1), (86, 1), (87, 1), (91, 1), (92, 2), (94, 1), (100, 2), (107, 2), (121, 2), (124, 1), (129, 1), (131, 1), (140, 1), (144, 1), (149, 5), (152, 1), (154, 1), (156, 2), (157, 1), (158, 2), (159, 1), (171, 16), (185, 1), (190, 1), (191, 3), (195, 1), (197, 1), (199, 1), (206, 1), (207, 3), (214, 1), (218, 1), (219, 1), (224, 1), (240, 4), (241, 1), (252, 1), (260, 1), (261, 1), (265, 1), (267, 1), (268, 3), (270, 1), (273, 8), (277, 1), (279, 2), (281, 2), (288, 2), (290, 1), (298, 1), (303, 1), (310, 1), (311, 7), (315, 1), (318, 3), (329, 1), (335, 1), (342, 2), (343, 2), (346, 1), (350, 1), (357, 1), (362, 1), (363, 2), (380, 2), (383, 1), (401, 1), (405, 1), (406, 1), (407, 1), (411, 1), (418, 1), (419, 5), (420, 1), (423, 1), (424, 1), (432, 10), (434, 1), (436, 1), (437, 1), (442, 1), (445, 1), (447, 3), (450, 2), (468, 1), (474, 1), (480, 1), (484, 1), (492, 1), (497, 2), (500, 2), (512, 1), (515, 1), (530, 1), (535, 1), (537, 1), (540, 1), (543, 1), (549, 1), (553, 1), (562, 1), (564, 1), (576, 1), (577, 1), (592, 1), (596, 1), (601, 2), (607, 1), (608, 1), (624, 1), (626, 1), (634, 1), (638, 1), (642, 4), (648, 1), (650, 1), (651, 1), (659, 1), (663, 5), (668, 3)]
亿|[(68, 1), (75, 1), (118, 2), (239, 1), (254, 2), (379, 1), (483, 1), (577, 2), (588, 1), (612, 4), (632, 1)]
亚尔青|[(112, 1)]
拉奇|[(45, 1)]
拼图|[(25, 1), (28, 1), (587, 1)]
凯恩|[(94, 1), (107, 1), (113, 1), (125, 1), (146, 5), (197, 1), (213, 1), (220, 1), (260, 1), (268, 1), (273, 1), (291, 3), (307, 5), (310, 2), (390, 1), (393, 1), (442, 1), (592, 2), (639, 1), (648, 13)]
新西兰队|[(93, 1)]
站姿|[(624, 1)]
辛奈|[(582, 1)]
梅西力|[]
慢跑|[(317, 1)]
更改|[(37, 1)]
收购|[(30, 1), (33, 1), (51, 1), (83, 1), (92, 2), (212, 3), (238, 1), (239, 1), (240, 2), (301, 1), (371, 1), (373, 1), (382, 1), (489, 1), (505, 1), (518, 1), (536, 1), (552, 2), (576, 1), (577, 1), (589, 1), (624, 1), (634, 1), (639, 1)]
带动|[(273, 1), (624, 1), (639, 1)]
泰迪|[(311, 1)]
奖杯|[(84, 1), (94, 1), (121, 3), (162, 1), (171, 1), (194, 1), (195, 2), (203, 1), (207, 3), (243, 1), (268, 1), (270, 1), (272, 1), (278, 3), (285, 1), (311, 2), (318, 1), (350, 1), (374, 1), (447, 1), (474, 1), (487, 1), (576, 1), (611, 2), (645, 1), (663, 2)]
梅泽|[(117, 1)]
首席|[(145, 1), (170, 1), (221, 1), (615, 1), (624, 1)]
分成|[(26, 1), (91, 1), (273, 1), (534, 1), (632, 1), (634, 1)]
力争|[]
严苛|[(171, 1)]
耸人听闻|[(303, 1)]
铲倒|[(188, 1), (351, 1), (358, 1), (359, 1), (455, 1), (530, 1), (559, 1)]
多斯|[(111, 4), (189, 2)]
建立|[(214, 1), (322, 1), (624, 1)]
雷达|[(89, 1), (570, 1)]
西里|[(68, 1), (336, 1), (358, 8)]
弧顶|[(308, 3), (315, 1), (338, 2), (345, 1), (409, 2), (455, 1), (468, 1), (602, 1)]
眼角|[(188, 1)]
希望|[(6, 4), (7, 1), (11, 1), (12, 1), (13, 2), (14, 2), (15, 1), (16, 1), (17, 2), (18, 1), (19, 1), (20, 1), (21, 2), (25, 3), (27, 2), (30, 1), (33, 1), (38, 1), (41, 2), (42, 1), (45, 2), (47, 2), (53, 1), (56, 1), (60, 1), (63, 1), (64, 2), (67, 1), (68, 2), (69, 1), (70, 1), (75, 4), (78, 2), (82, 1), (83, 1), (84, 1), (94, 1), (98, 2), (99, 1), (100, 3), (102, 1), (103, 2), (104, 1), (116, 1), (118, 4), (120, 2), (123, 1), (124, 1), (127, 3), (129, 3), (130, 3), (131, 2), (132, 4), (136, 2), (142, 2), (148, 1), (150, 1), (152, 1), (154, 3), (156, 1), (159, 1), (163, 2), (165, 1), (168, 1), (171, 4), (173, 1), (175, 1), (176, 1), (178, 1), (181, 3), (183, 1), (190, 1), (191, 2), (196, 2), (198, 1), (201, 1), (206, 1), (212, 1), (214, 1), (215, 1), (222, 1), (229, 2), (230, 1), (238, 2), (239, 1), (240, 2), (243, 1), (250, 1), (252, 2), (257, 1), (258, 1), (259, 5), (262, 1), (266, 1), (267, 3), (269, 6), (270, 1), (272, 1), (277, 1), (278, 2), (280, 3), (282, 1), (284, 1), (293, 1), (294, 1), (296, 1), (298, 1), (301, 1), (306, 1), (311, 1), (313, 3), (315, 6), (317, 2), (318, 1), (320, 2), (328, 2), (329, 1), (343, 1), (346, 1), (347, 1), (350, 2), (354, 2), (361, 1), (362, 1), (366, 1), (371, 2), (379, 1), (380, 1), (382, 1), (384, 3), (385, 1), (386, 1), (400, 1), (407, 1), (411, 1), (412, 3), (413, 1), (416, 2), (417, 1), (420, 5), (433, 1), (436, 1), (437, 1), (445, 2), (446, 5), (447, 1), (449, 1), (450, 3), (460, 1), (462, 1), (463, 3), (466, 3), (467, 3), (471, 2), (480, 1), (483, 3), (488, 2), (489, 3), (491, 2), (498, 3), (500, 2), (506, 2), (507, 5), (510, 1), (512, 3), (513, 2), (518, 1), (519, 2), (520, 2), (523, 2), (529, 2), (531, 2), (534, 1), (536, 5), (541, 1), (543, 2), (544, 1), (546, 1), (547, 1), (548, 2), (549, 1), (550, 1), (552, 1), (553, 1), (554, 2), (560, 2), (562, 1), (564, 2), (570, 2), (571, 2), (572, 1), (577, 2), (583, 1), (587, 1), (588, 2), (589, 2), (596, 2), (597, 1), (603, 1), (605, 1), (608, 1), (611, 2), (620, 1), (624, 1), (626, 2), (627, 1), (635, 3), (636, 2), (638, 1), (639, 1), (640, 1), (648, 1), (649, 1), (659, 1), (664, 1), (665, 2), (667, 1), (668, 2), (669, 2)]
分开|[(171, 1)]
兰多夫|[(662, 1)]
帅印|[(641, 1)]
明确|[(13, 1), (25, 1), (130, 1), (133, 1), (155, 1), (156, 1), (198, 1), (230, 1), (255, 1), (266, 1), (318, 1), (371, 1), (375, 1), (465, 1), (483, 1), (498, 1), (506, 1), (545, 1), (574, 1), (576, 1), (624, 1)]
姐姐|[(171, 3), (343, 1)]
双喜临门|[(344, 1)]
解决方案|[(279, 1), (416, 1)]
对贝|[(518, 1)]
纳尼接|[(323, 1)]
替身|[(519, 1)]
心态|[(84, 1), (215, 1), (346, 1), (383, 1), (446, 2), (482, 1)]
有权|[(91, 1), (173, 1), (180, 1)]
皮耶|[(332, 1)]
六人|[(641, 1)]
肯尼|[(17, 1), (121, 1), (345, 1)]
之源|[(268, 1)]
前断|[(324, 1)]
因素|[(91, 1), (100, 1), (161, 1), (243, 1), (259, 1), (268, 1), (273, 1), (277, 1), (281, 1), (316, 1), (346, 1), (361, 2), (380, 2), (423, 1), (446, 1)]
开启|[(6, 1), (16, 1), (22, 1), (76, 1), (337, 1), (339, 1), (367, 1), (420, 1), (489, 1), (523, 2), (547, 1), (661, 1)]
乐于|[(329, 1)]
西城|[(446, 1)]
单掌|[(244, 1), (504, 1)]
稳坐|[(625, 1)]
进军|[(93, 1), (157, 1), (276, 3)]
着急|[(315, 1), (412, 1), (466, 1)]
签德赫亚|[]
上榜|[(43, 1)]
可谓|[(58, 1), (78, 1), (87, 1), (175, 1), (276, 1), (302, 1), (344, 2)]
日后|[(102, 1)]
姆巴|[(5, 2), (75, 1), (116, 7), (118, 2), (146, 10), (184, 1), (239, 2), (255, 4), (257, 1), (283, 1), (304, 3), (371, 1), (373, 1), (379, 8), (532, 1), (543, 1), (553, 1), (577, 2), (588, 1), (617, 1), (667, 3)]
四周|[(129, 1)]
听说|[(441, 1), (446, 1)]
扑点|[(314, 1)]
费时|[(91, 1)]
分析|[(8, 1), (106, 2), (270, 1), (407, 1), (582, 1), (615, 1), (665, 1)]
形象|[(432, 1)]
马纳|[(337, 1)]
周薪|[(2, 1), (22, 1), (154, 1), (209, 1), (212, 1), (232, 1), (300, 1), (322, 1), (371, 1), (382, 1), (429, 1), (449, 1), (467, 2), (483, 1), (494, 1), (498, 1), (502, 1), (525, 1), (529, 1), (532, 1), (535, 2), (536, 1), (545, 2), (558, 1), (577, 1), (603, 2), (606, 1), (617, 1), (634, 2), (666, 1)]
名笔|[(29, 1)]
对范|[(496, 2), (505, 1), (513, 1), (625, 1)]
天神|[(337, 1)]
卢克曼|[(337, 1), (345, 2), (516, 1)]
完完整整|[(191, 1)]
独家|[(239, 1), (243, 1), (330, 2), (363, 1), (456, 1), (503, 1), (663, 1)]
连帽衫|[(363, 1)]
但波|[(526, 1)]
爆炸性|[(195, 1)]
福德|[(113, 1), (178, 1), (197, 9), (220, 1), (273, 1), (379, 1), (390, 1), (393, 1), (419, 3), (648, 2)]
全部|[(78, 1), (79, 1), (129, 1), (162, 1), (172, 1), (177, 1), (188, 1), (192, 1), (248, 2), (261, 1), (269, 1), (279, 1), (302, 1), (316, 1), (346, 1), (419, 1), (432, 2), (495, 1), (516, 1), (520, 1), (580, 1), (599, 1), (601, 2), (609, 1), (646, 1)]
一下子|[(157, 1)]
俱乐部队|[(112, 1)]
事实证明|[(421, 1), (562, 1)]
八字|[(272, 1)]
身体状况|[(270, 1), (354, 1)]
墙上|[(87, 1), (468, 1)]
密切联系|[(456, 1)]
现积|[(477, 1)]
反馈|[(606, 1)]
当红|[(553, 1)]
最起码|[(374, 1)]
生命|[(649, 1)]
史密斯|[(307, 1)]
真棒|[(269, 1)]
这记|[(315, 1)]
蓝军永在|[]
佐尔|[(518, 1), (537, 1), (617, 1)]
首要|[(44, 1), (420, 1), (558, 1), (560, 1), (617, 3)]
战争|[(116, 1)]
胜势|[(188, 1), (307, 1)]
这双鞋|[(265, 2)]
后卫|[(2, 1), (6, 2), (17, 1), (19, 3), (29, 1), (32, 1), (33, 1), (45, 3), (51, 2), (52, 1), (75, 3), (79, 1), (80, 1), (82, 2), (84, 2), (87, 3), (88, 1), (89, 3), (98, 3), (109, 1), (115, 3), (118, 1), (126, 3), (139, 2), (141, 1), (143, 1), (168, 1), (169, 2), (171, 12), (177, 1), (191, 5), (226, 1), (228, 1), (229, 2), (239, 2), (247, 1), (253, 2), (258, 2), (263, 1), (270, 8), (273, 1), (277, 1), (295, 1), (301, 1), (305, 1), (308, 1), (318, 1), (323, 2), (324, 1), (325, 1), (326, 1), (345, 2), (359, 1), (369, 1), (383, 2), (389, 1), (390, 1), (412, 4), (415, 1), (416, 1), (419, 1), (432, 1), (451, 1), (456, 2), (460, 1), (467, 2), (468, 2), (482, 1), (483, 3), (484, 1), (494, 1), (496, 1), (501, 1), (502, 1), (507, 1), (508, 2), (513, 1), (519, 1), (521, 1), (525, 2), (531, 1), (545, 1), (551, 1), (553, 4), (558, 5), (559, 2), (561, 1), (566, 2), (573, 1), (576, 1), (577, 1), (580, 1), (581, 2), (588, 1), (592, 2), (617, 2), (639, 4), (640, 1), (664, 1), (669, 1)]
维尼奥|[(504, 1)]
犯错误|[(171, 1), (432, 2)]
戈尔|[(98, 1), (577, 1), (580, 1), (604, 2), (609, 1), (617, 2)]
雕像|[(290, 1)]
国际足联|[(58, 2), (228, 1), (322, 3)]
一种|[(58, 1), (76, 2), (102, 1), (110, 1), (156, 1), (171, 2), (172, 1), (177, 1), (207, 1), (214, 1), (215, 1), (251, 1), (272, 1), (273, 2), (279, 4), (346, 1), (353, 1), (461, 1), (539, 1), (570, 1)]
对战|[(191, 1), (214, 1), (275, 1), (293, 2), (452, 1)]
手帕|[(424, 1)]
中路|[(69, 1), (87, 1), (146, 1), (188, 1), (257, 3), (262, 1), (308, 4), (323, 1), (338, 2), (351, 1), (358, 1), (359, 2), (369, 1), (468, 1), (508, 2), (530, 1), (559, 1), (648, 2)]
骄傲地|[(42, 1)]
事来|[(311, 1)]
蓝|[(23, 1), (447, 1)]
荣幸|[(83, 1), (365, 1)]
受苦|[(225, 1)]
没法|[(113, 1), (121, 2), (171, 3), (219, 1), (231, 1), (311, 1), (314, 2), (315, 1), (456, 1), (663, 1)]
上当|[(268, 1)]
南美|[(34, 1), (485, 1)]
奥尼尔|[(137, 1)]
整座|[(218, 1)]
此番|[(307, 1), (351, 1), (359, 1), (648, 1), (652, 1)]
月|[(0, 1), (1, 1), (2, 2), (3, 1), (4, 1), (5, 1), (6, 2), (7, 1), (8, 1), (9, 1), (10, 2), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 2), (18, 1), (19, 1), (20, 2), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 2), (31, 1), (32, 3), (33, 1), (34, 4), (35, 2), (36, 2), (37, 1), (38, 1), (39, 2), (40, 2), (41, 1), (42, 2), (43, 1), (44, 1), (45, 2), (46, 2), (47, 1), (48, 1), (49, 1), (50, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 2), (57, 2), (58, 1), (59, 1), (60, 4), (61, 1), (62, 4), (63, 3), (64, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1), (70, 2), (71, 1), (72, 1), (73, 1), (74, 1), (75, 2), (76, 1), (77, 1), (78, 1), (79, 2), (80, 1), (81, 3), (82, 1), (83, 1), (84, 1), (85, 1), (86, 1), (87, 2), (88, 2), (89, 2), (90, 2), (91, 2), (92, 1), (93, 1), (94, 1), (95, 1), (96, 1), (97, 1), (98, 1), (99, 1), (100, 2), (101, 1), (102, 2), (103, 1), (104, 3), (105, 2), (106, 1), (107, 1), (108, 1), (109, 5), (110, 1), (111, 1), (112, 1), (113, 2), (114, 1), (115, 5), (116, 2), (117, 1), (118, 1), (119, 1), (120, 1), (121, 3), (122, 1), (123, 1), (124, 1), (125, 1), (126, 3), (127, 1), (128, 1), (129, 2), (130, 1), (131, 1), (132, 1), (133, 1), (134, 8), (135, 1), (136, 1), (137, 2), (138, 2), (139, 2), (140, 1), (141, 1), (142, 1), (143, 1), (144, 1), (145, 1), (146, 1), (147, 1), (148, 1), (149, 1), (150, 1), (151, 2), (152, 1), (153, 1), (154, 1), (155, 1), (156, 1), (157, 1), (158, 2), (159, 2), (160, 1), (161, 1), (162, 1), (163, 1), (164, 1), (165, 2), (166, 1), (167, 1), (168, 1), (169, 3), (170, 1), (171, 3), (172, 1), (173, 1), (174, 3), (175, 1), (176, 1), (177, 2), (178, 2), (179, 1), (180, 1), (181, 2), (182, 1), (183, 1), (184, 1), (185, 2), (186, 2), (187, 2), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1), (193, 1), (194, 1), (195, 1), (196, 1), (197, 1), (198, 1), (199, 1), (200, 1), (201, 1), (202, 1), (203, 1), (204, 3), (205, 1), (206, 1), (207, 7), (208, 2), (209, 3), (210, 2), (211, 1), (212, 1), (213, 4), (214, 1), (215, 1), (216, 2), (217, 1), (218, 1), (219, 2), (220, 1), (221, 1), (222, 3), (223, 2), (224, 1), (225, 1), (226, 1), (227, 1), (228, 2), (229, 1), (230, 1), (231, 1), (232, 1), (233, 3), (234, 1), (235, 2), (236, 1), (237, 1), (238, 1), (239, 1), (240, 2), (241, 1), (242, 1), (243, 1), (244, 2), (245, 1), (246, 1), (247, 3), (248, 2), (249, 1), (250, 1), (251, 1), (252, 1), (253, 1), (254, 1), (255, 1), (256, 1), (257, 1), (258, 1), (259, 1), (260, 1), (261, 1), (262, 1), (263, 2), (264, 1), (265, 1), (266, 1), (267, 2), (268, 2), (269, 1), (270, 1), (271, 1), (272, 1), (273, 1), (274, 1), (275, 1), (276, 1), (277, 2), (278, 1), (279, 1), (280, 1), (281, 1), (282, 2), (283, 1), (284, 4), (285, 1), (286, 1), (287, 1), (288, 1), (289, 2), (290, 2), (291, 1), (292, 1), (293, 1), (294, 1), (295, 2), (296, 3), (297, 1), (298, 1), (299, 1), (300, 1), (301, 1), (302, 1), (303, 3), (304, 1), (305, 1), (306, 1), (307, 2), (308, 1), (309, 1), (310, 1), (311, 4), (312, 1), (313, 1), (314, 1), (315, 1), (316, 1), (317, 2), (318, 1), (319, 2), (320, 2), (321, 1), (322, 1), (323, 1), (324, 2), (325, 1), (326, 1), (327, 1), (328, 2), (329, 2), (330, 2), (331, 1), (332, 1), (333, 1), (334, 1), (335, 1), (336, 1), (337, 1), (338, 1), (339, 1), (340, 1), (341, 1), (342, 1), (343, 5), (344, 2), (345, 1), (346, 3), (347, 1), (348, 2), (349, 2), (350, 2), (351, 1), (352, 1), (353, 1), (354, 1), (355, 1), (356, 1), (357, 1), (358, 1), (359, 1), (360, 2), (361, 1), (362, 1), (363, 2), (364, 1), (365, 1), (366, 1), (367, 1), (368, 2), (369, 2), (370, 2), (371, 1), (372, 1), (373, 1), (374, 1), (375, 1), (376, 1), (377, 1), (378, 2), (379, 2), (380, 1), (381, 2), (382, 1), (383, 1), (384, 1), (385, 3), (386, 1), (387, 1), (388, 1), (389, 1), (390, 1), (391, 2), (392, 1), (393, 1), (394, 3), (395, 1), (396, 1), (397, 1), (398, 2), (399, 1), (400, 1), (401, 1), (402, 1), (403, 1), (404, 1), (405, 1), (406, 1), (407, 1), (408, 1), (409, 1), (410, 1), (411, 1), (412, 1), (413, 1), (414, 1), (415, 1), (416, 1), (417, 1), (418, 2), (419, 1), (420, 1), (421, 1), (422, 3), (423, 1), (424, 1), (425, 1), (426, 1), (427, 1), (428, 1), (429, 1), (430, 1), (431, 1), (432, 1), (433, 1), (434, 2), (435, 1), (436, 1), (437, 1), (438, 2), (439, 1), (440, 1), (441, 1), (442, 1), (443, 1), (444, 1), (445, 1), (446, 2), (447, 2), (448, 1), (449, 1), (450, 1), (451, 1), (452, 1), (453, 1), (454, 2), (455, 1), (456, 1), (457, 2), (458, 4), (459, 1), (460, 1), (461, 2), (462, 2), (463, 1), (464, 1), (465, 1), (466, 1), (467, 2), (468, 1), (469, 1), (470, 1), (471, 1), (472, 4), (473, 1), (474, 1), (475, 1), (476, 1), (477, 2), (478, 1), (479, 1), (480, 1), (481, 1), (482, 1), (484, 1), (485, 1), (486, 1), (487, 1), (489, 1), (490, 1), (491, 2), (492, 1), (493, 1), (494, 1), (495, 1), (496, 1), (497, 2), (498, 1), (499, 1), (500, 1), (501, 1), (502, 1), (503, 2), (504, 2), (505, 1), (506, 1), (507, 1), (508, 1), (509, 1), (510, 2), (511, 1), (512, 1), (513, 1), (514, 1), (515, 1), (516, 2), (517, 1), (518, 1), (519, 2), (520, 1), (521, 1), (522, 1), (524, 2), (525, 3), (526, 1), (527, 2), (528, 1), (529, 1), (530, 1), (531, 2), (532, 1), (533, 1), (534, 2), (535, 1), (536, 3), (537, 1), (539, 1), (541, 1), (542, 1), (543, 1), (544, 1), (545, 1), (546, 1), (547, 1), (548, 2), (550, 1), (553, 1), (556, 1), (558, 1), (559, 2), (560, 2), (561, 1), (562, 1), (563, 1), (564, 2), (565, 2), (566, 1), (567, 1), (568, 1), (569, 3), (570, 1), (571, 2), (572, 1), (573, 3), (575, 1), (576, 1), (577, 2), (578, 1), (579, 1), (581, 1), (582, 3), (583, 1), (584, 1), (590, 1), (591, 1), (592, 3), (593, 3), (594, 1), (595, 4), (596, 1), (597, 2), (598, 2), (599, 1), (600, 1), (601, 1), (602, 2), (603, 1), (604, 1), (605, 3), (606, 1), (607, 1), (608, 1), (609, 1), (610, 1), (611, 1), (612, 1), (613, 2), (614, 1), (615, 2), (616, 1), (618, 1), (619, 1), (620, 1), (621, 1), (622, 1), (623, 1), (624, 1), (625, 1), (626, 3), (627, 1), (628, 3), (629, 1), (630, 1), (631, 1), (632, 1), (633, 1), (635, 1), (636, 1), (637, 1), (638, 1), (639, 1), (640, 1), (641, 3), (642, 1), (643, 1), (644, 1), (645, 1), (646, 1), (647, 1), (648, 3), (649, 1), (650, 2), (651, 1), (652, 2), (653, 1), (654, 1), (655, 3), (656, 1), (657, 1), (658, 1), (659, 1), (660, 1), (661, 1), (662, 1), (663, 3), (664, 1), (665, 1), (666, 1), (667, 1), (668, 2), (669, 1)]
服|[(424, 1)]
候选人|[(72, 1), (75, 1), (268, 1), (500, 1)]
马津|[(161, 2)]
最|[(6, 1), (17, 1), (19, 2), (26, 1), (45, 1), (50, 2), (51, 1), (58, 2), (68, 1), (70, 2), (75, 2), (78, 1), (82, 1), (83, 1), (84, 2), (89, 1), (94, 5), (98, 1), (100, 1), (117, 1), (118, 1), (121, 4), (124, 1), (128, 1), (148, 1), (156, 2), (167, 1), (169, 1), (171, 3), (174, 1), (179, 2), (201, 1), (203, 2), (207, 3), (230, 1), (239, 1), (240, 1), (249, 1), (255, 1), (267, 1), (268, 1), (269, 1), (270, 1), (272, 1), (273, 2), (276, 1), (278, 1), (280, 1), (306, 1), (308, 1), (310, 1), (328, 2), (343, 3), (346, 1), (352, 1), (353, 1), (362, 1), (364, 1), (380, 3), (383, 1), (384, 1), (407, 1), (412, 1), (414, 1), (416, 1), (419, 1), (426, 1), (432, 4), (436, 1), (438, 1), (445, 1), (447, 1), (456, 1), (458, 1), (467, 2), (472, 1), (475, 1), (482, 1), (483, 1), (488, 1), (498, 1), (501, 1), (507, 1), (513, 1), (518, 1), (523, 1), (525, 2), (543, 2), (553, 1), (556, 1), (562, 2), (577, 1), (583, 1), (588, 1), (592, 1), (606, 1), (617, 1), (619, 1), (624, 1), (639, 4), (643, 1), (651, 1), (663, 1), (667, 1)]
不够|[(102, 1), (148, 1), (171, 1), (269, 1), (346, 1), (407, 1), (439, 1), (500, 1), (647, 1), (659, 1)]
这能|[(42, 1), (97, 1), (281, 1), (315, 1), (436, 1), (512, 1)]
再度|[(13, 1), (15, 1), (109, 1), (455, 1), (457, 1), (487, 1), (516, 1), (525, 1), (645, 2), (653, 1)]
卡里亚|[(403, 5), (556, 5)]
羡|[(397, 1)]
一本|[(30, 1)]
